picture,city,ratings,ratingsby,details
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQLQnDGL8k9jnLRieGPEz7_yQkSCygv3sFG3TBVcYkSD3kGOaz86wDgHpusaoTyIRM5174jzLsouXNRyGIxTPnAyw,Satpara Lake,4.6,(175),Mountain lake with fishing & boating
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS0AipFh-Sk5XnfHbMWw6rLKiTvlnXtlkj_7P3eWOOHPz2plQKwdG3aFVkkzqqguF21nZlbNXHvUeH5Tv9PLf-C4w,Lower Kachura Lake,4.8,(131),Scenic mountain lake with a resort
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQxD8o4yolhSR3YumN3e8rIK42aqkvsWGbEZ5bRIijoEvhsY18K5sl7t4WTJZEM6fsyMWitp4eoRbFpqeqn7GGcKQ,Upper Kachura Lake,4.7,(303),High altitude lake amid mountains
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQuygWJ1VgovT_fy8YjfFhuQN_A0P9YGCCLWvtcAxUicp38tIPfZT1ayJm3gtsYjNJJqHLBo_bLtMiszacmv1GAQw,Katpana Desert,4.7,(182),Desert plain surrounded by snowy peaks
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQ-fowpQp-hUIoiUwLKVA25GHbWcgnH8qgKjy5Yw4OokMsgLU1y7qrtM9HzLKTToZ82E5OpRk7Ty1vid8xXbi55Qg,Kharphocho Fort,4.4,(271),Reconstructed stronghold atop a mountain
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSlve8vFr-fs5TG8Woxib0jx62tNlYZ6E4eu-0Hzbl9QKkCj7rkTfnw_T6pI74yu8ulmkVUFrMuyyQK9rY3oFZ8tQ,Central Karakoram National Park,4.1,(7),"Park, glacier, and mountain"
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSCIVw20g0aZURzUPE_lG3qXbNRK2Nm5DGAT-b7rWdsAefn644sqtIifV0joPHwpKt52_1PzR7JCIfpCdXcTlcCWA,Buddha Rock,4.4,(143),Ancient rock with a carving of Bhudda
https://lh5.googleusercontent.com/p/AF1QipMWCKGQqj_hJfudAABJ8QUXNmL5JfERpErGTXEY=w464-h260-n-k-no,Satpara Dam,4.5,(13),Lake and canal
https://lh5.googleusercontent.com/p/AF1QipNkmf3jsfqiAsJumcli-XNTq70X0apBkEp0HcOu=w464-h260-n-k-no,Sarfaranga Desert,4.7,(17),Desert and nature
https://lh5.googleusercontent.com/p/AF1QipMAL9YvEitWYQ2xAZ4RL36xw5tWyculm-aPCnyT=w464-h260-n-k-no,Katpanah Lake,4.5,(99),
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg1YOgkVFXLDEy04ARoIEgJlbhoCUEsgACoFLQAAgD8,Satpara Stream,4.7,(3),Lake
https://lh5.googleusercontent.com/p/AF1QipNzK9zHfUmJ-c6jmi27X_4_tdARsnu-JoHHj6st=w464-h260-n-k-no,Sadpara Lake,4.6,(49),Lake
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg0iUB4VFWFT9yw4ARoIEgJlbhoCUEsgACoFLQAAgD8,SAFARI RESORT,,,
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg1-Hw4VFWIpCC04ARoIEgJlbhoCUEsgACoFLQAAgD8,Baltistan Wildlife Sanctuary,,,
https://lh5.googleusercontent.com/p/AF1QipOg_A5K8IS3M1wofuCkoaikr3SpqEXbe74BAtXk=w464-h260-n-k-no,Hussainabad Waterfall Skardu,4.4,(28),
